"id","year","unit","topic","question_text","question_image","table_headers","option_a","option_b","option_c","option_d","option_e","correct_answer","tagged"
"2019-16","2019","Particles and Waves","Wave-Particle Duality","A photon of energy 6.40 × 10⁻¹⁹ J is incident on a metal plate.<br>This causes photoemission to take place.<br><br>The work function of the metal is 4.20 × 10⁻¹⁹ J.<br><br>The maximum speed of the photoelectron is","","","1.19 × 10⁶ m s⁻¹","9.60 × 10⁵ m s⁻¹","6.95 × 10⁵ m s⁻¹","6.79 × 10⁵ m s⁻¹","4.91 × 10⁵ m s⁻¹","C","1"
"2019-17","2019","Particles and Waves","Interference","Waves from two coherent sources, S₁ and S₂, produce an interference pattern.<br>Maxima are detected at the positions shown.[c]{{IMAGE}}[/c]<br>The wavelength of the waves is 28 mm.<br>For the third minimum at P the path difference (S₂P − S₁P) is","2019_Q17_Diagram.png","","42 mm","56 mm","70 mm","84 mm","98 mm","C","1"
"2019-18","2019","Particles and Waves","Refraction of Light","A ray of monochromatic light passes from air into water.<br>The wavelength of this light in air is 589 nm.<br><br>The speed of this light in water is","","","2.56 × 10² m s⁻¹","4.52 × 10² m s⁻¹","2.26 × 10⁸ m s⁻¹","3.00 × 10⁸ m s⁻¹","3.99 × 10⁸ m s⁻¹","C","1"
"2019-19","2019","Particles and Waves","Spectra","When light passes through the outer layers of the Sun certain frequencies of light are absorbed by hydrogen atoms, producing dark lines in the spectrum.<br><br>The diagram represents some of the energy levels for a hydrogen atom.[c]{{IMAGE}}[/c]The number of absorption lines in the spectrum caused by the transition of electrons between these energy levels is","2019_Q19_Diagram.png","","4","6","9","10","20","D","1"
"2019-20","2019","Electricity","Monitoring and Measuring AC","The output from an AC power supply is connected to an oscilloscope. The trace seen on the oscilloscope screen is shown.[c]{{IMAGE}}[/c]<br>The Y-gain setting on the oscilloscope is 1.0 V/div.<br><br>The rms voltage of the power supply is","2019_Q20_Diagram.png","","2.1 V","3.0 V","4.0 V","4.2 V","6.0 V","A","1"
"2019-21","2019","Electricity","Monitoring and Measuring AC","The output from a signal generator is connected to an oscilloscope. The trace observed on the oscilloscope screen is as shown in the diagram.[c]{{IMAGE}}[/c]The frequency of the signal from the signal generator is now doubled.<br>The amplitude of the signal is unchanged.<br>The Y-gain setting on the oscilloscope is unchanged.<br>The timebase setting on the oscilloscope is changed from 1.0 ms/division to 0.5 ms/division.<br><br>Which of the following diagrams shows the trace that is now observed on the oscilloscope screen?","2019_Q21_Diagram.png","","[IMG]2019_Q21_A.png","[IMG]2019_Q21_B.png","[IMG]2019_Q21_C.png","[IMG]2019_Q21_D.png","[IMG]2019_Q21_E.png","B","1"
"2019-22","2019","Other","Uncertainties","A student sets up a circuit and measures the voltage across and the current in a resistor. The measurements and their uncertainties are<br>[s]voltage = (10.0 ± 0.1) V<br>current = (0.50 ± 0.01) A[/s]The approximate absolute uncertainty in the calculated value of the resistance of the resistor is","","","±0.11 Ω","±0.2 Ω","±0.4 Ω","±1 Ω","±2 Ω","C","1"
"2019-23","2019","Electricity","P,V,I,R","A circuit is set up as shown.[c]{{IMAGE}}[/c]The power supply has negligible internal resistance.<br><br>The power dissipated in the 3.0 Ω resistor is","2019_Q23_Diagram.png","","3.0 W","6.0 W","9.0 W","12 W","18 W","D","1"
"2019-24","2019","Electricity","Semiconductors and p-n Junctions","A student connects four identical light emitting diodes (LEDs) to a 2 V DC supply as shown.[c]{{IMAGE}}[/c]<br>Which of the LEDs P, Q, R, and S will light?","2019_Q24_Diagram.png","","P only","Q only","P and Q only","P and R only","Q and S only","B","1"
"2019-25","2019","Other","Uncertainties","A student makes the following statements about uncertainties.<br>[s]I All measurements of physical quantities are liable to uncertainties.<br>II Random uncertainties occur when a measurement is repeated and slight variations occur.<br>III Systematic uncertainties in a quantity occur when measurements are either all smaller or all larger than the true value of the quantity.[/s]<br>Which of these statements is/are correct?","","","I only","I and II only","I and III only","II and III only","I, II and III","E","1"
"2018-01","2018","Our Dynamic Universe","Motion: Equations & Graphs","A car is moving at a speed of 2.0 m s⁻¹.<br>The car now accelerates at 4.0 m s⁻² until it reaches a speed of 14 m s⁻¹.<br><br>The distance travelled by the car during this acceleration is","","","1.5 m","18 m","24 m","25 m","48 m","C","1"
"2018-02","2018","Our Dynamic Universe","Motion: Equations & Graphs","A ball is dropped from rest and allowed to bounce several times.<br>The graph shows how the velocity of the ball varies with time.[c]{{IMAGE}}[/c]A student makes the following statements about the ball.<br>[s]I The ball hits the ground at P.<br>II The ball is moving upwards between Q and R.<br>III The ball is moving upwards between R and S.[/s]Which of these statements is/are correct?","2018_Q02_Diagram.png","","I only","II only","III only","I and II only","I and III only","D","1"
"2018-03","2018","Our Dynamic Universe","Forces, Energy & Power","A block of mass 6.0 kg and a block of mass 8.0 kg are connected by a string. A force of 32 N is applied to the blocks as shown.[c]{{IMAGE}}[/c]A frictional force of 4.0 N acts on each block.<br><br>The acceleration of the 6.0 kg block is","2018_Q03_Diagram.png","","1.7 m s⁻²","2.0 m s⁻²","2.3 m s⁻²","2.9 m s⁻²","5.3 m s⁻²","A","1"
"2018-04","2018","Our Dynamic Universe","Forces, Energy & Power","A person stands on a weighing machine in a lift. When the lift is at rest, the reading on the weighing machine is 700 N.<br><br>The lift now descends and its speed increases at a constant rate.<br><br>The reading on the weighing machine","","","is a constant value higher than 700 N","is a constant value lower than 700 N","continually increases from 700 N","continually decreases from 700 N","remains constant at 700 N","B","1"
"2018-05","2018","Our Dynamic Universe","Gravitation","Enceladus is a moon of Saturn. The mass of Enceladus is 1.08 × 10²⁰ kg.<br>The mass of Saturn is 5.68 × 10²⁶ kg.<br>The gravitational force of attraction between Enceladus and Saturn is 7.24 × 10¹⁹ N.<br><br>The orbital radius of Enceladus around Saturn is","","","2.38 × 10⁸ m","9.11 × 10¹³ m","5.65 × 10¹⁶ m","8.30 × 10²⁷ m","3.19 × 10³³ m","A","1"
"2018-06","2018","Our Dynamic Universe","Special Relativity","A spacecraft is travelling at 0.10c relative to a star.<br><br>An observer on the spacecraft measures the speed of light emitted by the star to be","","","0.90 c","0.99 c","1.00 c","1.01 c","1.10 c","C","1"
"2018-07","2018","Our Dynamic Universe","Special Relativity","A spacecraft is travelling at a speed of 0.200c relative to the Earth.<br>The spacecraft emits a signal for 20.0 seconds as measured in the frame of reference of the spacecraft.<br><br>An observer on Earth measures the duration of the signal as","","","19.2 s","19.6 s","20.0 s","20.4 s","20.8 s","D","1"
"2018-08","2018","Particles and Waves","The Standard Model","How many types of quark are there?","","","8","6","4","3","2","B","1"
"2018-09","2018","Particles and Waves","The Standard Model","An electron is a","","","boson","hadron","baryon","meson","lepton","E","1"
"2018-10","2018","Particles and Waves","Forces on Charged Particles","A proton enters a region of magnetic field as shown.[c]{{IMAGE}}[/c]On entering the magnetic field the proton","2018_Q10_Diagram.png","","deflects into the page","deflects out of the page","deflects towards the top of the page","deflects towards the bottom of the page","is not deflected","C","1"
"2018-11","2018","Particles and Waves","Nuclear Reactions","A nuclear fission reaction is represented by the following statement.<br>$${}_{0}^{1}n + {}_{92}^{235}U \rightarrow {}_{56}^{141}Ba + X + 3{}_{0}^{1}n$$<br>The nucleus represented by X is","","","$${}_{40}^{96}Zr$$","$${}_{36}^{92}Kr$$","$${}_{40}^{97}Zr$$","$${}_{36}^{93}Kr$$","$${}_{40}^{94}Zr$$","B","1"
"2018-12","2018","Particles and Waves","Inverse Square Law","The irradiance on a surface 0.50 m from a point source of light is \( I \).<br><br>The irradiance on a surface 1.5 m from this source is","","","0.11 I","0.33 I","1.5 I","3.0 I","9.0 I","A","1"
"2018-13","2018","Particles and Waves","Interference","Waves from two coherent sources, S₁ and S₂, produce an interference pattern. Maxima are detected at the positions shown below.[c]{{IMAGE}}[/c]The path difference S₁P − S₂P is 154 mm.<br><br>The wavelength of the waves is","2018_Q13_Diagram.png","","15.4 mm","25.7 mm","28.0 mm","30.8 mm","34.2 mm","D","1"
"2018-14","2018","Particles and Waves","Refraction of Light","A ray of monochromatic light passes from air into a block of glass as shown.[c]{{IMAGE}}[/c]<br>The wavelength of this light in air is 6.30 × 10⁻⁷ m.<br>The refractive index of the glass for this light is 1.50.<br><br>The frequency of this light in the glass is","2018_Q14_Diagram.png","","2.10 × 10⁻¹⁵ Hz","1.26 × 10² Hz","1.89 × 10² Hz","4.76 × 10¹⁴ Hz","7.14 × 10¹⁴ Hz","D","1"
"2018-15","2018","Electricity","P,V,I,R","A circuit is set up as shown.[c]{{IMAGE}}[/c]The battery has negligible internal resistance.<br>A student makes the following statements about the readings on the meters in this circuit.<br>[s]I When switch S is open the reading on the voltmeter will be 6.0 V.<br>II When switch S is open the reading on A2 will be 0.60 A.<br>III When switch S is closed the reading on A1 will be 0.80 A.[/s]Which of these statements is/are correct?","2018_Q15_Diagram.png","","I only","II only","I and II only","II and III only","I, II and III","E","1"
"2018-16","2018","Electricity","P,V,I,R","The power dissipated in a 120 Ω resistor is 4.8 W.<br><br>The current in the resistor is","","","0.020 A","0.040 A","0.20 A","5.0 A","25 A","C","1"
"2018-17","2018","Electricity","Capacitors","A 24.0 μF capacitor is charged until the potential difference across it is 125 V.<br><br>The charge stored on the capacitor is","","","5.21 × 10⁶ C","7.75 × 10⁻² C","1.50 × 10⁻³ C","3.00 × 10⁻³ C","1.92 × 10⁻⁷ C","D","1"
"2018-18","2018","Electricity","Capacitors","A circuit is set up as shown.[c]{{IMAGE}}[/c]When the capacitor is fully charged the energy stored in the capacitor is","2018_Q18_Diagram.png","","1.6 × 10⁻⁵ J","1.3 × 10⁻³ J","2.6 × 10⁻³ J","1.6 × 10⁻² J","1.6 × 10⁴ J","D","1"
"2018-19","2018","Electricity","Capacitors","The circuit shown is used to charge and then discharge a capacitor C.[c]{{IMAGE}}[/c]Which pair of graphs shows how the potential difference \( V \) across the capacitor varies with time \( t \) during charging and discharging?","2018_Q19_Diagram.png","","[IMG]2018_Q19_A.png","[IMG]2018_Q19_B.png","[IMG]2018_Q19_C.png","[IMG]2018_Q19_D.png","[IMG]2018_Q19_E.png","E","1"
"2018-20","2018","Other","Uncertainties","A student carries out an experiment to determine the specific heat capacity \( c \) of a solid.<br>The relationship used to calculate \( c \) is<br>$$c = \frac{E}{m \Delta T}$$The recorded measurements and their percentage uncertainties are shown.<br>[s]energy supplied, \( E \) = 5000 J ± 1%<br>mass of solid, \( m \) = 0.20 kg ± 2%<br>change in temperature, \( \Delta T \) = 4.5 °C ± 5%[/s]A good estimate of the percentage uncertainty in the calculated value of \( c \) is","","","8%","7%","5%","3%","1%","C","1"
"2017-01","2017","Our Dynamic Universe","Motion: Equations & Graphs","The graph shows how the velocity of an object varies with time.[c]{{IMAGE}}[/c]The acceleration of the object is","2017_Q01_Diagram.png","","0.83 m s⁻²","1.2 m s⁻²","2.5 m s⁻²","5.0 m s⁻²","6.0 m s⁻²","A","1"
"2017-02","2017","Our Dynamic Universe","Forces, Energy & Power","A block is resting on a horizontal surface.<br>A force of 24 N is now applied as shown and the block slides along the surface.[c]{{IMAGE}}[/c]<br>The mass of the block is 20 kg.<br>The acceleration of the block is 0.20 m s⁻².<br><br>The force of friction acting on the block is","2017_Q02_Diagram.png","","4.0 N","8.0 N","12 N","16 N","25 N","B","1"
"2017-03","2017","Our Dynamic Universe","Gravitation","The graph shows how the vertical speed of a skydiver varies with time.[c]{{IMAGE}}[/c]A student uses information from the graph to make the following statements.[s]I The acceleration of the skydiver is greatest between P and Q.<br>II The air resistance acting on the skydiver between Q and R is less than the weight of the skydiver.<br>III The forces acting on the skydiver are balanced between R and S.[/s]Which of these statements is/are correct?","2017_Q03_Diagram.png","","I only","II only","III only","I and II only","I, II and III","C","1"
"2017-04","2017","Our Dynamic Universe","Special Relativity","A spacecraft is travelling at a constant speed of 2.75 × 10⁸ m s⁻¹ relative to a planet.<br>A technician on the spacecraft measures the length of the spacecraft as 125 m.<br><br>An observer on the planet measures the length of the spacecraft as","","","36 m","50 m","124 m","314 m","433 m","B","1"
"2017-05","2017","Our Dynamic Universe","Special Relativity","A galaxy has a recessional velocity of 0.30c.<br><br>Hubble’s Law predicts that the distance between Earth and this galaxy is","","","1.3 × 10¹⁷ m","3.9 × 10²⁵ m","1.3 × 10²⁶ m","1.4 × 10⁴¹ m","4.5 × 10⁴² m","B","1"
"2017-06","2017","Our Dynamic Universe","The Expanding Universe","Measurements of the expansion rate of the Universe lead to the conclusion that the rate of expansion is increasing.<br>Present theory proposes that this is due to","","","redshift","dark matter","dark energy","the gravitational force","cosmic microwave background radiation","C","1"
"2017-07","2017","Our Dynamic Universe","The Expanding Universe","A student makes the following statements about the radiation emitted by stellar objects.<br>[s]I Stellar objects emit radiation over a wide range of frequencies.<br>II The peak wavelength of radiation is longer for hotter objects than for cooler objects.<br>III At all frequencies, hotter objects emit more radiation per unit surface area per unit time than cooler objects.[/s]Which of these statements is/are correct?","","","I only","III only","I and II only","I and III only","I, II and III","D","1"
"2017-08","2017","Particles and Waves","Nuclear Reactions","The following statement represents a nuclear reaction.<br>$${}_{103}^{256}Lr \rightarrow Z + {}_{2}^{4}He$$Nucleus Z is","","","$${}_{101}^{252}Md$$","$${}_{101}^{252}No$$","$${}_{101}^{256}Md$$","$${}_{105}^{260}Db$$","$${}_{103}^{252}Lr$$","A","1"
"2017-09","2017","Particles and Waves","Wave-Particle Duality","Radiation is incident on a clean zinc plate causing photoelectrons to be emitted.<br><br>The source of radiation is replaced with one emitting radiation of a higher frequency.<br>The irradiance of the radiation incident on the plate remains unchanged.<br><br>Which row in the table shows the effect of this change on the maximum kinetic energy of a photoelectron and the number of photoelectrons emitted per second?","","Maximum kinetic energy of a photoelectron | Number of photoelectrons emitted per second","no change | no change","no change | increases","increases | no change","increases | decreases","decreases | increases","D","1"
"2017-10","2017","Particles and Waves","Wave-Particle Duality","Ultraviolet radiation of frequency 7.70 × 10¹⁴ Hz is incident on the surface of a metal.<br>Photoelectrons are emitted from the surface of the metal.<br>The maximum kinetic energy of an emitted photoelectron is 2.67 × 10⁻¹⁹ J.<br><br>The work function of the metal is","","","1.07 × 10⁻¹⁹ J","2.44 × 10⁻¹⁹ J","2.67 × 10⁻¹⁹ J","5.11 × 10⁻¹⁹ J","7.78 × 10⁻¹⁹ J","B","1"
"2017-11","2017","Particles and Waves","Interference","A student makes the following statements about waves from coherent sources.<br>[s]I Waves from coherent sources have the same velocity.<br>II Waves from coherent sources have the same wavelength.<br>III Waves from coherent sources have a constant phase relationship.[/s]Which of these statements is/are correct?","","","I only","II only","I and II only","I and III only","I, II and III","E","1"
"2017-12","2017","Particles and Waves","Refraction of Light","A ray of red light passes from a liquid to a transparent solid.<br>The solid and the liquid have the same refractive index for this light.<br><br>Which row in the table shows what happens to the speed and wavelength of the light as it passes from the liquid into the solid?","","Speed | Wavelength","decreases | decreases","decreases | increases","no change | increases","increases | no change","no change | no change","E","1"
"2017-13","2017","Particles and Waves","Refraction of Light","A ray of blue light passes from air into a transparent block as shown.[c]{{IMAGE}}[/c]The speed of this light in the block is","2017_Q13_Diagram.png","","1.80 × 10⁸ m s⁻¹","1.96 × 10⁸ m s⁻¹","2.00 × 10⁸ m s⁻¹","2.23 × 10⁸ m s⁻¹","2.65 × 10⁸ m s⁻¹","D","1"
"2017-14","2017","Particles and Waves","Inverse Square Law","A student carries out an experiment to investigate how irradiance varies with distance.<br>A small lamp is placed at a distance \( d \) away from a light meter. The irradiance \( I \) at this distance is displayed on the meter. This measurement is repeated for a range of different distances.<br>The student uses these results to produce the graph shown.[c]{{IMAGE}}[/c]<br>The graph indicates that there is a systematic uncertainty in this experiment.<br><br>Which of the following would be most likely to reduce the systematic uncertainty in this experiment?","2017_Q14_Diagram.png","","Repeating the readings and calculating mean values.","Replacing the small lamp with a larger lamp.","Decreasing the brightness of the lamp.","Repeating the experiment in a darkened room.","Increasing the range of distances.","D","1"
"2017-15","2017","Particles and Waves","Inverse Square Law","A point source of light is 8.00 m away from a surface. The irradiance, due to the point source, at the surface is 50.0 mW m⁻².<br>The point source is now moved to a distance of 12.0 m from the surface.<br><br>The irradiance, due to the point source, at the surface is now","","","22.2 mW m⁻²","26.0 mW m⁻²","33.3 mW m⁻²","75.0 mW m⁻²","267 mW m⁻²","A","1"
"2017-16","2017","Electricity","Monitoring and Measuring AC","The output from an a.c. power supply is connected to an oscilloscope. The trace seen on the oscilloscope screen is shown.[c]{{IMAGE}}[/c]The Y-gain setting on the oscilloscope is 1.0 V/div.<br><br>The r.m.s. voltage of the power supply is","2017_Q16_Diagram.png","","2.1 V","3.0 V","4.0 V","4.2 V","6.0 V","A","1"
"2017-17","2017","Electricity","Capacitors","A 20 µF capacitor is connected to a 12 V d.c. supply.<br><br>The maximum charge stored on the capacitor is","","","1.4 × 10⁻³ C","2.4 × 10⁻⁴ C","1.4 × 10⁻⁴ C","1.7 × 10⁻⁶ C","6.0 × 10⁻⁷ C","B","1"
"2017-18","2017","Electricity","Capacitors","A circuit containing a capacitor is set up as shown.[c]{{IMAGE}}[/c]The supply has negligible internal resistance.<br><br>The maximum energy stored in the capacitor is","2017_Q18_Diagram.png","","5.4 × 10⁻⁴ J","3.5 × 10⁻⁴ J","1.4 × 10⁻⁴ J","3.4 × 10⁻⁵ J","2.2 × 10⁻⁵ J","E","1"
"2017-19","2017","Electricity","Semiconductors and p-n Junctions","A student makes the following statements about conductors, insulators and semiconductors.<br>[s]I In conductors, the conduction band is completely filled with electrons.<br>II In insulators, the gap between the valence band and the conduction band is large.<br>III In semiconductors, increasing the temperature increases the conductivity.[/s]Which of these statements is/are correct?","","","I only","II only","III only","I and II only","II and III only","E","1"
"2017-20","2017","Other","Skills","Astronomers use the following relationship to determine the distance, \( d \), to a star.<br>$$F = \frac{L}{4\pi d^2}$$For a particular star the following measurements are recorded:<br>[s]apparent brightness, \( F = 4.4 \times 10^{-10} \text{ W m}^{-2} \)<br>luminosity, \( L = 6.1 \times 10^{30} \text{ W} \)[/s]Based on this information, the distance to this star is","","","3.3 × 10¹⁹ m","1.5 × 10²¹ m","3.7 × 10³⁶ m","1.1 × 10³⁹ m","3.9 × 10³⁹ m","A","1"
"2016-01","2016","Our Dynamic Universe","Motion: Equations & Graphs","A car accelerates uniformly from rest. The car travels a distance of 60 m in 6.0 s.<br><br>The acceleration of the car is","","","0.83 m s⁻²","3.3 m s⁻²","5.0 m s⁻²","10 m s⁻²","20 m s⁻²","B","1"
"2016-02","2016","Our Dynamic Universe","Motion: Equations & Graphs","A ball is thrown vertically upwards and falls back to Earth.<br><br>Neglecting air resistance, which velocity-time graph represents its motion?","","","[IMG]2016_Q02_A.png","[IMG]2016_Q02_B.png","[IMG]2016_Q02_C.png","[IMG]2016_Q02_D.png","[IMG]2016_Q02_E.png","A","1"
"2016-03","2016","Our Dynamic Universe","Forces, Energy & Power","A block of wood slides with a constant velocity down a slope. The slope makes an angle of 30º with the horizontal as shown. The mass of the block is 2.0 kg.[c]{{IMAGE}}[/c]The magnitude of the force of friction acting on the block is","2016_Q03_Diagram.png","","1.0 N","1.7 N","9.8 N","17.0 N","19.6 N","C","1"
"2016-04","2016","Our Dynamic Universe","Collisions, Explosions & Impulse","The graph shows the force which acts on an object over a time interval of 8.0 seconds.[c]{{IMAGE}}[/c]The momentum gained by the object during this 8.0 seconds is","2016_Q04_Diagram.png","","12 kg m s⁻¹","32 kg m s⁻¹","44 kg m s⁻¹","52 kg m s⁻¹","72 kg m s⁻¹","C","1"
"2016-05","2016","Our Dynamic Universe","Gravitation","A planet orbits a star at a distance of 3.0 × 10⁹ m.<br>The star exerts a gravitational force of 1.6 × 10²⁷ N on the planet.<br>The mass of the star is 6.0 × 10³⁰ kg.<br><br>The mass of the planet is","","","2.4 × 10¹⁴ kg","1.2 × 10¹⁶ kg","3.6 × 10²⁵ kg","1.6 × 10²⁶ kg","2.4 × 10³⁷ kg","C","1"
"2016-06","2016","Our Dynamic Universe","The Expanding Universe","A car horn emits a sound with a constant frequency of 405 Hz.<br>The car is travelling away from a student at 28.0 m s⁻¹.<br>The speed of sound in air is 335 m s⁻¹.<br><br>The frequency of the sound from the horn heard by the student is","","","371 Hz","374 Hz","405 Hz","439 Hz","442 Hz","B","1"
"2016-07","2016","Our Dynamic Universe","The Expanding Universe","The graphs show how the radiation per unit surface area, \( R \), varies with the wavelength, \( \lambda \), of the emitted radiation for two stars, P and Q.[c]{{IMAGE}}[/c]<br>A student makes the following conclusions based on the information in the graph.<br>[s]I Star P is hotter than star Q.<br>II Star P emits more radiation per unit surface area than star Q.<br>III The peak intensity of the radiation from star Q is at a shorter wavelength than that from star P.[/s]Which of these statements is/are correct?","2016_Q07_Diagram.png","","I only","II only","III only","I and II only","II and III only","C","1"
"2016-08","2016","Particles and Waves","The Standard Model","One type of hadron consists of two down quarks and one up quark.<br>The charge on a down quark is -1/3.<br>The charge on an up quark is +2/3.<br><br>Which row in the table shows the charge and type for this hadron?","","charge | type of hadron","0 | baryon","+1 | baryon","-1 | meson","0 | meson","+1 | meson","A","1"
"2016-09","2016","Particles and Waves","The Standard Model","A student makes the following statements about sub-nuclear particles.<br>[s]I The force mediating particles are bosons.<br>II Gluons are the mediating particles of the strong force.<br>III Photons are the mediating particles of the electromagnetic force.[/s]Which of these statements is/are correct?","","","I only","II only","I and II only","II and III only","I, II and III","E","1"
"2016-10","2016","Particles and Waves","Nuclear Reactions","The last two changes in a radioactive decay series are shown below.<br>A Bismuth nucleus emits a beta particle and its product, a Polonium nucleus, emits an alpha particle.<br>$${}_{Q}^{P}\text{Bi} \xrightarrow{\beta} {}_{S}^{R}\text{Po} \xrightarrow{\alpha} {}_{82}^{208}\text{Pb}$$Which numbers are represented by P, Q, R and S?","","P | Q | R | S","210 | 83 | 208 | 81","210 | 83 | 210 | 84","211 | 85 | 207 | 86","212 | 83 | 212 | 84","212 | 85 | 212 | 84","D","1"
"2016-11","2016","Particles and Waves","Wave-Particle Duality","The table below shows the threshold frequency of radiation for photoelectric emission for some metals.[t]Metal | Threshold frequency (Hz)<br>sodium | 4.4 × 10¹⁴<br>potassium | 5.4 × 10¹⁴<br>zinc | 6.9 × 10¹⁴[/t]<br>Radiation of frequency 6.3 × 10¹⁴ Hz is incident on the surface of each of the metals.<br><br>Photoelectric emission occurs from","","","sodium only","zinc only","potassium only","sodium and potassium only","zinc and potassium only","D","1"
"2016-12","2016","Particles and Waves","Wave-Particle Duality","Radiation of frequency 9.00 × 10¹⁵ Hz is incident on a clean metal surface.<br>The maximum kinetic energy of a photoelectron ejected from this surface is 5.70 × 10⁻¹⁸ J.<br><br>The work function of the metal is","","","2.67 × 10⁻¹⁹ J","5.97 × 10⁻¹⁸ J","1.17 × 10⁻¹⁷ J","2.07 × 10⁻² J","9.60 × 10⁻¹ J","A","1"
"2016-13","2016","Particles and Waves","Interference","A ray of monochromatic light is incident on a grating as shown.[c]{{IMAGE}}[/c]<br>The wavelength of the light is 633 nm.<br><br>The separation of the slits on the grating is","2016_Q13_Diagram.png","","1.96 × 10⁻⁷ m","1.08 × 10⁻⁶ m","2.05 × 10⁻⁶ m","2.15 × 10⁻⁶ m","4.10 × 10⁻⁶ m","C","1"
"2016-14","2016","Particles and Waves","Refraction of Light","Light travels from glass into air.<br><br>Which row in the table shows what happens to the speed, frequency and wavelength of the light as it travels from glass into air?","","Speed | Frequency | Wavelength","decreases | stays constant | decreases","decreases | increases | stays constant","stays constant | increases | increases","increases | increases | stays constant","increases | stays constant | increases","E","1"
"2016-15","2016","Particles and Waves","Inverse Square Law","The irradiance of light from a point source is 32 W m⁻² at a distance of 4.0 m from the source.<br><br>The irradiance of the light at a distance of 16 m from the source is","","","0.125 W m⁻²","0.50 W m⁻²","2.0 W m⁻²","8.0 W m⁻²","128 W m⁻²","C","1"
"2016-16","2016","Particles and Waves","Spectra","Part of the energy level diagram for an atom is shown[c]{{IMAGE}}[/c]<br>X and Y represent two possible electron transitions.<br>A student makes the following statements about transitions X and Y.<br>[s]I Transition Y produces photons of higher frequency than transition X<br>II Transition X produces photons of longer wavelength than transition Y<br>III When an electron is in the energy level E₀, the atom is ionised.[/s]Which of the statements is/are correct?","2016_Q16_Diagram.png","","I only","I and II only","I and III only","II and III only","I, II and III","B","1"
"2016-17","2016","Electricity","Monitoring and Measuring AC","The output of a signal generator is connected to the input of an oscilloscope.<br>The trace produced on the screen of the oscilloscope is shown.[c]{{IMAGE}}[/c]The timebase control of the oscilloscope is set at 2 ms/div.<br>The Y-gain control of the oscilloscope is set at 4 mV/div.<br><br>Which row in the table shows the frequency and peak voltage of the output of the signal generator?","2016_Q17_Diagram.png","frequency (Hz) | peak voltage (mV)","0.5 | 12","0.5 | 6","250 | 6","500 | 12","500 | 24","D","1"
"2016-18","2016","Electricity","P,V,I,R","A potential divider circuit is set up as shown.[c]{{IMAGE}}[/c]The potential difference across the 7.0 kΩ resistor is","2016_Q18_Diagram.png","","3.6 V","4.0 V","5.1 V","8.4 V","9.0 V","D","1"
"2016-19","2016","Electricity","Electrical Sources and Internal Resistance","A circuit is set up as shown.[c]{{IMAGE}}[/c]The resistance of the variable resistor is increased and corresponding readings on the ammeter are recorded.<br>[t]Resistance (Ω)| 2.0| 4.0| 6.0| 8.0<br>Current (A)| 2.0| 1.5| 1.2| 1.0[/t]These results show that as the resistance of the variable resistor increases the power dissipated in the variable resistor","2016_Q19_Diagram.png","","increases","decreases","remains constant","decreases and then increases","increases and then decreases","E","1"
"2016-20","2016","Electricity","Capacitors","A 20 μF capacitor is connected to a 12 V d.c. supply.<br><br>The maximum charge stored on the capacitor is","","","1.4 × 10⁻³ C","2.4 × 10⁻⁴ C","1.2 × 10⁻⁴ C","1.7 × 10⁻⁶ C","6.0 × 10⁻⁷ C","B","1"
"2015-01","2015","Our Dynamic Universe","Motion: Equations & Graphs","The following velocity-time graph represents the vertical motion of a ball.[c]{{IMAGE}}[/c]Which of the following acceleration-time graphs represents the same motion?","2015_Q01_Diagram.png","","[IMG]2015_Q01_A.png","[IMG]2015_Q01_B.png","[IMG]2015_Q01_C.png","[IMG]2015_Q01_D.png","[IMG]2015_Q01_E.png","C","1"
"2015-02","2015","Our Dynamic Universe","Motion: Equations & Graphs","A car is travelling at 12 m s⁻¹ along a straight road. The car now accelerates uniformly at -1.5 m s⁻² for 6.0 s.<br><br>The distance travelled during this time is","","","18 m","45 m","68 m","72 m","99 m","B","1"
"2015-03","2015","Our Dynamic Universe","Forces, Energy & Power","A box of mass m rests on a slope as shown.[c]{{IMAGE}}[/c]Which row in the table shows the component of the weight acting down the slope and the component of the weight acting normal to the slope?","2015_Q03_Diagram.png","Component of weight acting down the slope | Component of weight acting normal to the slope","mg sinθ | mg cosθ","mg tanθ | mg sinθ","mg cosθ | mg sinθ","mg cosθ | mg tanθ","mg sinθ | mg tanθ","A","1"
"2015-04","2015","Our Dynamic Universe","Forces, Energy & Power","A person stands on bathroom scales in a lift.<br>The scales show a reading greater than the person’s weight.<br><br>The lift is moving","","","upwards with constant speed","downwards with constant speed","downwards with increasing speed","downwards with decreasing speed","upwards with decreasing speed","D","1"
"2015-05","2015","Our Dynamic Universe","Forces, Energy & Power","A car of mass 900 kg pulls a caravan of mass 400 kg along a straight, horizontal road with an acceleration of 2.0 m s⁻².[c]{{IMAGE}}[/c]Assuming that the frictional forces on the caravan are negligible, the tension in the coupling between the car and the caravan is","2015_Q05_Diagram.png","","400 N","500 N","800 N","1800 N","2600 N","C","1"
"2015-06","2015","Our Dynamic Universe","Forces, Energy & Power","Water flows at a rate of 6.25 × 10⁸ kg per minute over a waterfall.<br>The height of the waterfall is 108 m.<br><br>The total power delivered by the water in falling through the 108 m is","","","1.13 × 10⁹ W","1.10 × 10¹⁰ W","6.62 × 10¹¹ W","4.05 × 10¹² W","3.97 × 10¹³ W","B","1"
